,BURGLARY,COMMON ASSAULT,LARCENY,ROBBERY - STREET,AUTO THEFT,AGG. ASSAULT,LARCENY FROM AUTO,SHOOTING,ROBBERY - RESIDENCE,ROBBERY - COMMERCIAL,ARSON,HOMICIDE,ROBBERY - CARJACKING,RAPE
2014-08-11,25,17,50,9,11,19,23,3,4,0,2.0,3.0,0.0,0.0
2014-08-12,14,11,19,5,11,6,15,1,2,2,0.0,0.0,0.0,1.0
2014-08-13,21,21,28,8,7,11,22,2,1,2,0.0,0.0,0.0,0.0
2014-08-14,24,12,44,4,11,10,33,1,2,3,1.0,0.0,0.0,0.0
2014-08-15,32,27,41,10,12,4,28,0,3,3,0.0,1.0,0.0,1.0
2014-08-16,12,24,30,5,9,12,14,0,0,2,1.0,1.0,0.0,0.0
2014-08-17,12,15,30,11,10,14,15,1,2,0,1.0,0.0,2.0,3.0
2014-08-18,23,15,39,18,8,10,19,3,2,1,0.0,0.0,1.0,3.0
2014-08-19,23,9,36,7,19,12,27,1,1,4,0.0,0.0,0.0,0.0
2014-08-20,13,17,43,9,12,13,26,0,0,1,0.0,2.0,0.0,0.0
2014-08-21,16,15,24,5,13,10,21,1,2,0,1.0,1.0,1.0,0.0
2014-08-22,14,16,27,15,7,5,31,2,2,3,0.0,2.0,0.0,0.0
2014-08-23,29,19,29,13,8,14,13,3,0,2,0.0,0.0,1.0,0.0
2014-08-24,10,11,23,5,10,13,21,1,2,1,2.0,3.0,0.0,1.0
2014-08-25,19,31,34,14,11,15,22,0,1,5,0.0,0.0,2.0,0.0
2014-08-26,19,19,37,14,10,8,15,2,1,1,3.0,1.0,0.0,1.0
2014-08-27,21,13,37,13,9,14,16,3,2,1,2.0,1.0,2.0,0.0
2014-08-28,20,21,28,6,10,12,16,1,0,1,1.0,0.0,2.0,1.0
2014-08-29,20,25,53,11,6,11,17,0,1,1,1.0,1.0,0.0,1.0
2014-08-30,18,18,25,8,10,10,18,0,2,3,0.0,0.0,0.0,0.0
2014-08-31,9,27,26,5,11,22,23,5,0,2,0.0,1.0,1.0,0.0
2014-09-01,27,41,32,14,7,20,23,1,0,1,0.0,2.0,1.0,2.0
2014-09-02,14,26,41,11,8,17,25,1,5,0,0.0,1.0,1.0,0.0
2014-09-03,17,17,26,12,10,12,15,1,0,0,0.0,2.0,2.0,1.0
2014-09-04,21,24,36,11,11,10,18,1,2,1,0.0,0.0,2.0,3.0
2014-09-05,24,24,39,6,10,18,22,0,0,2,0.0,0.0,0.0,0.0
2014-09-06,19,20,33,10,12,13,28,3,1,1,0.0,1.0,0.0,1.0
2014-09-07,17,31,29,4,8,13,21,0,0,4,0.0,0.0,0.0,0.0
2014-09-08,20,15,34,9,11,7,17,0,3,2,2.0,0.0,0.0,0.0
2014-09-09,22,21,34,2,8,12,14,1,0,4,1.0,0.0,1.0,0.0
2014-09-10,17,21,42,5,9,15,24,2,2,4,0.0,0.0,0.0,0.0
2014-09-11,20,16,40,8,14,6,23,1,0,2,0.0,1.0,0.0,2.0
2014-09-12,26,15,47,10,7,24,14,2,0,0,1.0,0.0,0.0,0.0
2014-09-13,14,19,32,5,3,8,18,2,1,2,1.0,0.0,0.0,0.0
2014-09-14,16,31,28,4,12,5,13,1,1,0,1.0,0.0,1.0,2.0
2014-09-15,27,12,41,6,4,10,15,1,0,4,1.0,0.0,0.0,0.0
2014-09-16,18,17,38,6,12,11,12,1,2,4,0.0,0.0,1.0,0.0
2014-09-17,17,25,42,8,9,9,18,0,0,0,0.0,0.0,0.0,0.0
2014-09-18,19,27,48,13,8,17,23,0,2,1,0.0,2.0,0.0,2.0
2014-09-19,32,21,33,3,5,10,14,0,0,2,0.0,0.0,0.0,0.0
2014-09-20,25,19,27,7,10,16,24,1,0,4,0.0,1.0,0.0,2.0
2014-09-21,9,28,35,7,8,14,30,0,2,4,1.0,2.0,0.0,0.0
2014-09-22,28,15,41,25,7,7,20,1,7,0,1.0,1.0,0.0,1.0
2014-09-23,21,32,34,12,14,8,13,0,1,6,1.0,2.0,1.0,0.0
2014-09-24,16,17,22,19,12,15,17,1,1,0,0.0,0.0,0.0,0.0
2014-09-25,18,15,26,10,7,11,21,2,0,3,7.0,1.0,1.0,0.0
2014-09-26,13,23,41,9,13,13,20,1,2,0,0.0,1.0,1.0,0.0
2014-09-27,28,21,38,5,12,14,15,1,0,3,0.0,0.0,0.0,2.0
2014-09-28,19,19,47,4,13,11,13,0,1,0,0.0,1.0,0.0,0.0
2014-09-29,28,23,44,9,13,13,21,1,6,3,1.0,0.0,0.0,0.0
2014-09-30,20,24,43,7,4,15,12,1,0,3,0.0,1.0,0.0,2.0
2014-10-01,23,21,30,7,5,8,23,1,0,1,0.0,1.0,0.0,2.0
2014-10-02,15,18,30,12,7,13,19,0,0,0,0.0,0.0,0.0,0.0
2014-10-03,21,24,32,11,12,10,29,0,4,7,1.0,0.0,0.0,0.0
2014-10-04,13,29,34,7,8,20,17,2,3,4,0.0,1.0,2.0,4.0
2014-10-05,16,15,26,8,12,17,17,1,2,3,2.0,1.0,0.0,0.0
2014-10-06,22,18,21,9,7,10,14,1,3,0,0.0,1.0,0.0,1.0
2014-10-07,23,19,35,10,4,7,25,2,2,3,2.0,2.0,0.0,0.0
2014-10-08,17,18,32,7,15,4,17,0,4,3,2.0,0.0,0.0,0.0
2014-10-09,18,24,28,16,12,10,14,2,1,1,0.0,2.0,0.0,0.0
2014-10-10,31,20,36,8,12,9,22,1,1,1,1.0,2.0,0.0,1.0
2014-10-11,15,21,19,11,9,12,20,1,1,0,0.0,1.0,4.0,0.0
2014-10-12,26,21,37,7,12,13,22,2,2,3,0.0,0.0,0.0,0.0
2014-10-13,21,27,36,10,8,13,17,0,1,3,2.0,0.0,0.0,1.0
2014-10-14,27,18,28,7,13,13,27,2,2,3,0.0,0.0,0.0,0.0
2014-10-15,26,19,28,8,11,9,10,1,3,9,1.0,1.0,0.0,0.0
2014-10-16,24,28,25,10,7,8,28,1,1,1,1.0,0.0,2.0,1.0
