CrimeDateTime,HOMICIDE,AGG. ASSAULT,COMMON ASSAULT,LARCENY,AUTO THEFT,ROBBERY - CARJACKING,BURGLARY,LARCENY FROM AUTO,ROBBERY - COMMERCIAL,SHOOTING,ROBBERY - RESIDENCE,ROBBERY - STREET,ARSON,RAPE
2014-03-30 00:00:00+00:00,0,9,19,26,12,2.0,7,12,2,0,0.0,2.0,1.0,0.0
2014-03-31 00:00:00+00:00,1,10,30,47,9,0.0,14,13,1,4,0.0,10.0,0.0,2.0
2014-04-01 00:00:00+00:00,0,16,21,41,8,0.0,19,12,0,1,0.0,3.0,0.0,2.0
2014-04-02 00:00:00+00:00,0,11,19,46,9,0.0,16,11,0,0,0.0,3.0,0.0,2.0
2014-04-03 00:00:00+00:00,1,14,20,30,8,0.0,16,21,0,0,0.0,7.0,1.0,0.0
2014-04-04 00:00:00+00:00,1,14,29,37,12,0.0,18,19,0,0,0.0,8.0,0.0,0.0
2014-04-05 00:00:00+00:00,0,15,22,28,11,0.0,10,18,1,1,3.0,6.0,0.0,1.0
2014-04-06 00:00:00+00:00,1,13,26,24,12,0.0,5,9,0,1,1.0,4.0,1.0,1.0
2014-04-07 00:00:00+00:00,0,9,24,32,11,1.0,14,15,0,0,0.0,4.0,1.0,1.0
2014-04-08 00:00:00+00:00,1,8,25,29,13,0.0,19,14,1,0,1.0,5.0,1.0,2.0
2014-04-09 00:00:00+00:00,0,11,25,42,8,0.0,15,16,5,1,0.0,6.0,0.0,0.0
2014-04-10 00:00:00+00:00,0,9,20,29,11,1.0,13,24,0,1,0.0,5.0,0.0,1.0
2014-04-11 00:00:00+00:00,0,14,18,34,10,0.0,18,14,0,0,0.0,5.0,1.0,0.0
2014-04-12 00:00:00+00:00,0,9,27,38,7,0.0,18,14,1,0,0.0,6.0,0.0,0.0
2014-04-13 00:00:00+00:00,0,19,33,24,17,1.0,11,12,0,3,1.0,7.0,2.0,1.0
2014-04-14 00:00:00+00:00,1,13,18,43,10,1.0,21,19,1,1,2.0,9.0,1.0,1.0
2014-04-15 00:00:00+00:00,1,12,13,39,8,3.0,20,11,1,0,0.0,1.0,0.0,0.0
2014-04-16 00:00:00+00:00,1,15,15,29,12,0.0,21,12,0,0,0.0,8.0,1.0,1.0
2014-04-17 00:00:00+00:00,1,13,21,34,9,0.0,13,27,2,1,1.0,6.0,0.0,0.0
2014-04-18 00:00:00+00:00,1,13,21,34,10,1.0,16,14,3,1,2.0,4.0,0.0,0.0
2014-04-19 00:00:00+00:00,0,17,25,33,5,0.0,12,13,1,1,0.0,8.0,4.0,0.0
2014-04-20 00:00:00+00:00,0,19,28,31,4,0.0,11,15,0,2,1.0,5.0,1.0,1.0
2014-04-21 00:00:00+00:00,0,14,19,31,11,0.0,17,18,0,1,1.0,5.0,1.0,1.0
2014-04-22 00:00:00+00:00,1,12,23,22,9,0.0,25,21,2,0,0.0,4.0,3.0,0.0
2014-04-23 00:00:00+00:00,0,14,25,37,6,0.0,27,24,1,0,2.0,3.0,0.0,0.0
2014-04-24 00:00:00+00:00,0,16,25,24,8,1.0,18,21,1,1,2.0,7.0,0.0,0.0
2014-04-25 00:00:00+00:00,0,15,27,33,16,0.0,22,12,0,1,1.0,10.0,0.0,0.0
2014-04-26 00:00:00+00:00,0,15,27,45,10,0.0,13,14,1,1,3.0,3.0,1.0,0.0
2014-04-27 00:00:00+00:00,2,21,37,30,12,1.0,15,10,1,3,3.0,4.0,2.0,1.0
2014-04-28 00:00:00+00:00,0,15,24,39,11,0.0,26,14,1,1,2.0,8.0,2.0,1.0
2014-04-29 00:00:00+00:00,0,8,26,28,12,0.0,12,18,1,0,1.0,9.0,0.0,2.0
2014-04-30 00:00:00+00:00,0,6,20,32,10,0.0,12,16,4,1,2.0,7.0,0.0,0.0
2014-05-01 00:00:00+00:00,0,12,24,41,11,0.0,16,14,1,1,0.0,11.0,1.0,0.0
2014-05-02 00:00:00+00:00,0,15,22,32,10,0.0,25,13,1,1,1.0,6.0,0.0,1.0
2014-05-03 00:00:00+00:00,3,13,24,24,4,0.0,15,17,2,1,1.0,7.0,0.0,0.0
2014-05-04 00:00:00+00:00,0,11,22,40,5,0.0,13,18,1,0,1.0,8.0,2.0,1.0
2014-05-05 00:00:00+00:00,1,14,25,39,7,0.0,18,16,3,4,1.0,4.0,0.0,0.0
2014-05-06 00:00:00+00:00,1,13,27,35,8,1.0,24,15,0,1,1.0,9.0,1.0,1.0
2014-05-07 00:00:00+00:00,1,13,25,34,15,1.0,18,12,1,0,2.0,8.0,2.0,1.0
2014-05-08 00:00:00+00:00,0,7,24,35,9,1.0,25,22,1,1,2.0,2.0,1.0,1.0
2014-05-09 00:00:00+00:00,1,17,19,39,9,2.0,27,19,0,1,0.0,9.0,0.0,1.0
2014-05-10 00:00:00+00:00,0,12,28,27,12,0.0,13,12,2,0,2.0,6.0,0.0,0.0
2014-05-11 00:00:00+00:00,2,15,25,21,11,0.0,16,18,1,0,1.0,11.0,1.0,0.0
2014-05-12 00:00:00+00:00,1,14,20,26,16,0.0,22,16,3,1,1.0,9.0,1.0,1.0
2014-05-13 00:00:00+00:00,0,17,20,29,8,0.0,16,26,2,0,1.0,10.0,0.0,0.0
2014-05-14 00:00:00+00:00,0,12,26,33,9,1.0,32,18,1,1,0.0,5.0,0.0,0.0
2014-05-15 00:00:00+00:00,1,13,30,36,15,0.0,20,26,0,0,3.0,4.0,0.0,0.0
2014-05-16 00:00:00+00:00,1,14,18,43,16,1.0,23,23,0,3,1.0,2.0,1.0,0.0
2014-05-17 00:00:00+00:00,1,21,36,45,16,0.0,15,18,2,5,1.0,4.0,2.0,0.0
2014-05-18 00:00:00+00:00,0,10,25,27,10,0.0,17,17,0,0,0.0,11.0,0.0,1.0
2014-05-19 00:00:00+00:00,0,8,21,52,9,0.0,16,16,2,1,0.0,8.0,1.0,1.0
2014-05-20 00:00:00+00:00,0,16,23,50,9,1.0,24,19,2,0,2.0,3.0,1.0,1.0
