id,release_date,movie,production_budget,domestic_gross,worldwide_gross,tconst,primary_title,original_title,start_year,runtime_minutes,genres,revenue-domestic,revenue-worldwide,lost_money,roi-domestic,roi-worldwide,release_month
67,2002-02-15,Crossroads,12000000.0,37188667.0,57000000.0,tt8106586,Crossroads,Crossroads,2018,,Documentary,25188667.0,45000000.0,False,209.90555833333335,375.0,2
86,2015-06-23,Crossroads,500000.0,0.0,0.0,tt1848834,Crossroads,Crossroads,2015,87.0,"Action,Crime,Drama",-500000.0,-500000.0,True,-100.0,-100.0,6
86,2015-06-23,Crossroads,500000.0,0.0,0.0,tt1980074,Crossroads,Crossroads,2014,,Action,-500000.0,-500000.0,True,-100.0,-100.0,6
86,2015-06-23,Crossroads,500000.0,0.0,0.0,tt2190231,Crossroads,Crossroads,2012,,Comedy,-500000.0,-500000.0,True,-100.0,-100.0,6
86,2015-06-23,Crossroads,500000.0,0.0,0.0,tt8106586,Crossroads,Crossroads,2018,,Documentary,-500000.0,-500000.0,True,-100.0,-100.0,6
68,2015-07-24,Paper Towns,12000000.0,32000304.0,85450484.0,tt3622592,Paper Towns,Paper Towns,2015,109.0,"Comedy,Drama,Mystery",20000304.0,73450484.0,False,166.66920000000002,612.0873666666666,7
69,2008-10-10,Quarantine,12000000.0,31691811.0,41924774.0,tt2317003,Quarantine,Quarantine,2011,15.0,"Documentary,Family",19691811.0,29924774.0,False,164.098425,249.37311666666665,10
77,2016-08-12,Hell or High Water,12000000.0,27007844.0,37584304.0,tt2582782,Hell or High Water,Hell or High Water,2016,102.0,"Action,Crime,Drama",15007844.0,25584304.0,False,125.06536666666668,213.20253333333335,8
79,2012-07-05,Katy Perry: Part of Me,12000000.0,25326071.0,32700439.0,tt2215719,Katy Perry: Part of Me,Katy Perry: Part of Me,2012,93.0,"Documentary,Music",13326071.0,20700439.0,False,111.05059166666666,172.50365833333333,7
80,2014-12-12,Top Five,12000000.0,25317379.0,26001741.0,tt2784678,Top Five,Top Five,2014,102.0,"Comedy,Romance",13317379.0,14001741.0,False,110.97815833333333,116.681175,12
83,1979-06-15,Prophecy,12000000.0,22673340.0,22673340.0,tt4819134,Prophecy,Prophecy,2015,92.0,Drama,10673340.0,10673340.0,False,88.9445,88.9445,6
83,1979-06-15,Prophecy,12000000.0,22673340.0,22673340.0,tt7385128,Prophecy,Prophecy,2019,82.0,Documentary,10673340.0,10673340.0,False,88.9445,88.9445,6
84,2015-01-30,Project Almanac,12000000.0,22348241.0,32909437.0,tt2436386,Project Almanac,Project Almanac,2015,106.0,"Drama,Mystery,Sci-Fi",10348241.0,20909437.0,False,86.23534166666667,174.24530833333333,1
